Speaker,Phr_tagged,Phr,Int,Double,Adj,Lex_Adj,Adj_type,Noun,Verb,Inf_Verb,Number,Syllable,Age,Gender,Transcript_date,Birth_year,Edu,Generation,Job
CART19,el_DET_el agua_NOUN_agua y_CCONJ_y lo_PRON_él dejo_VERB_dejar que_SCONJ_que hierva_VERB_herir y_CCONJ_y le_PRON_él hecho_VERB_hacer su_DET_su arroz_NOUN_arroz bien_ADV_bien lavadito_ADJ_lavadito _PUNCT_,el agua y lo dejo que hierva y le hecho su arroz bien lavadito ,bien,/,lavadito,lavadito,attributive,arroz,hecho,hacer,CART19_108,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,queda_VERB_quedar bueno_ADJ_bueno ._PUNCT_.,queda bueno .,/,/,bueno,bueno,ambiguous,/,queda,quedar,CART19_109,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,eso_PRON_ese sí_INTJ_sí que_SCONJ_que el_DET_el primero_ADJ_primero que_PRON_que yo_PRON_yo hice_VERB_hacer _PUNCT_,eso sí que el primero que yo hice ,/,/,primero,primero,ambiguous,/,hice,hacer,CART19_110,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,la_DET_el bola_NOUN_bola que_PRON_que quedo_VERB_quedar bien_ADV_bien volado_ADJ_volado ._PUNCT_.,la bola que quedo bien volado .,bien,/,volado,volado,ambiguous,/,quedo,quedar,CART19_111,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,me_PRON_yo dijeron_VERB_decir que_SCONJ_que estaba_AUX_estar sabroso_ADJ_sabroso pero_CCONJ_pero yo_PRON_yo sabía_VERB_saber que_SCONJ_que estaba_AUX_estar bien_ADV_bien volado_ADJ_volado ._PUNCT_.,me dijeron que estaba sabroso pero yo sabía que estaba bien volado .,/,/,sabroso,sabroso,predicative,/,estaba,estar,CART19_112,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,me_PRON_yo dijeron_VERB_decir que_SCONJ_que estaba_AUX_estar sabroso_ADJ_sabroso pero_CCONJ_pero yo_PRON_yo sabía_VERB_saber que_SCONJ_que estaba_AUX_estar bien_ADV_bien volado_ADJ_volado ._PUNCT_.,me dijeron que estaba sabroso pero yo sabía que estaba bien volado .,bien,/,volado,volado,predicative,/,estaba,estar,CART19_113,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,No_ADV_no pero_CCONJ_pero mi_DET_mi fuerte_ADJ_fuerte son_AUX_ser los_DET_el patacones_NOUN_patacón ._PUNCT_.,No pero mi fuerte son los patacones .,/,/,fuerte,fuerte,ambiguous,/,son,ser,CART19_114,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,pero_CCONJ_pero quedan_VERB_quedar bien_ADV_bien elegantes_ADJ_elegante _PUNCT_,pero quedan bien elegantes ,bien,/,elegantes,elegante,ambiguous,/,quedan,quedar,CART19_115,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,no_ADV_no me_PRON_yo quedan_VERB_quedar enchumbados_ADJ_enchumbado sino_CCONJ_sino secos_ADJ_seco ¿_PUNCT_¿ ya_ADV_ya ?_PUNCT_?,no me quedan enchumbados sino secos ¿ ya ?,/,/,enchumbados,enchumbado,ambiguous,/,quedan,quedar,CART19_116,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,no_ADV_no me_PRON_yo quedan_VERB_quedar enchumbados_ADJ_enchumbado sino_CCONJ_sino secos_ADJ_seco ¿_PUNCT_¿ ya_ADV_ya ?_PUNCT_?,no me quedan enchumbados sino secos ¿ ya ?,/,/,secos,seco,ambiguous,/,quedan,quedar,CART19_117,2,34,hombre,2010,1976,medio,2,Topógrafo
